time,ax (m/s^2)
0.002026,-0.0822
0.002387,-0.162
0.002612,-0.2118
0.033025,-0.2791
0.033525,-0.3069
0.033672,-0.1763
0.033815,-0.0543
0.033943,0.0264
0.034065,0.0998
0.034196,0.1799
0.038253,0.2755
0.042834,0.2854
0.047416,0.2474
0.052214,0.1184
0.057201,-0.0441
0.061744,-0.1921
0.066561,-0.4262
0.070895,-0.6606
0.075834,-0.862
0.080499,-0.9586
0.084643,-0.9549
0.089817,-0.9221
0.094371,-0.8693
0.101593,-0.7965
0.103757,-0.7085
0.108445,-0.6292
0.112962,-0.5061
0.11763,-0.4202
0.122467,-0.3237
0.127055,-0.2837
0.131774,-0.2191
0.136504,-0.2499
0.141338,-0.2473
0.145835,-0.2263
0.150456,-0.2304
0.155338,-0.2072
0.159668,-0.2571
0.164395,-0.2941
0.16934,-0.4091
0.173788,-0.5548
0.178635,-0.6979
0.183229,-0.8385
0.192718,-0.9623
0.193256,-1.1166
0.196945,-1.2677
0.202214,-1.3146
0.206709,-1.3624
0.211192,-1.3535
0.216234,-1.2687
0.220609,-1.1458
0.225218,-1.0749
0.229991,-0.9695
0.234404,-0.8578
0.239394,-0.7491
0.243595,-0.6431
0.248488,-0.5541
0.253349,-0.4821
0.257934,-0.4178
0.263586,-0.3902
0.267189,-0.3233
0.271852,-0.3178
0.276573,-0.3983
0.281195,-0.5381
0.285979,-0.7862
0.290818,-0.9507
0.295228,-0.9877
0.302593,-1.1696
0.306325,-1.2143
0.309268,-1.2562
0.313784,-1.2951
0.318201,-1.2783
0.323213,-1.273
0.328006,-1.2549
0.333184,-1.1516
0.337487,-0.8717
0.342013,-0.5583
0.346768,-0.2925
0.351286,-0.0502
0.356078,0.04
0.360643,-0.0114
0.365421,-0.0884
0.369978,-0.2381
0.374445,-0.4221
0.379995,-0.6076
0.384098,-0.7856
0.388799,-0.9801
0.393293,-1.0572
0.398004,-1.1502
0.402648,-1.1631
0.407395,-1.2099
0.412222,-1.2044
0.416737,-1.2045
0.421672,-1.264
0.426215,-1.2832
0.430936,-1.1767
0.435459,-0.9552
0.439804,-0.6578
0.444805,-0.2138
0.44973,0.1555
0.454149,0.516
0.458998,0.8291
0.463867,0.9475
0.468383,0.988
0.47301,0.8
0.477845,0.5908
0.482477,0.3276
0.486926,-0.0187
0.491897,-0.3631
0.496882,-0.6927
0.501145,-0.8031
0.510713,-0.8104
0.511563,-0.7398
0.515203,-0.5685
0.519541,-0.1591
0.524427,0.2573
0.529024,0.5121
0.533588,0.6289
0.538354,0.5413
0.54315,0.1387
0.547831,-0.2903
0.552597,-0.5807
0.556997,-1.1514
0.56173,-1.409
0.567498,-1.4578
0.571288,-1.4365
0.575819,-1.4068
0.581258,-1.22
0.585302,-0.9149
0.589961,-0.4967
0.594482,-0.1093
0.59968,0.267
0.60388,0.5235
0.611416,0.7092
0.613619,0.8492
0.617939,1.0206
0.622361,1.2273
0.627967,1.4628
0.631658,1.7067
0.636479,2.0452
0.640997,2.3509
0.645212,2.4316
0.650508,1.3908
0.655408,1.0754
0.659881,1.3293
0.664749,1.8481
0.669564,2.7772
0.673898,3.8762
0.678275,3.9088
0.683145,3.1156
0.688384,1.8313
0.692701,0.4372
0.699712,-0.8544
0.702114,-1.7995
0.709577,-1.9767
0.711395,-1.4317
0.715659,-0.603
0.720444,0.0815
0.725017,0.7064
0.729917,1.2808
0.734584,1.8289
0.739166,2.1703
0.744078,2.1913
0.74871,2.1068
0.753412,2.1016
0.758199,2.195
0.762955,2.4362
0.767463,2.8406
0.772491,3.1934
0.776695,3.4172
