time;ax (m/s^2);ay (m/s^2);az (m/s^2);aT (m/s^2)
0,002026;-0,0822;-0,0617;-1,6326;1,636
0,002387;-0,162;-0,1048;-1,6544;1,666
0,002612;-0,2118;-0,1094;-1,6053;1,623
0,033025;-0,2791;-0,1096;-1,4279;1,459
0,033525;-0,3069;-0,1158;-1,0553;1,105
0,033672;-0,1763;-0,1054;-0,4875;0,529
0,033815;-0,0543;-0,1134;0,1227;0,176
0,033943;0,0264;-0,1409;0,5365;0,555
0,034065;0,0998;-0,1746;0,8884;0,911
0,034196;0,1799;-0,2009;1,1928;1,223
0,038253;0,2755;-0,2108;1,402;1,444
0,042834;0,2854;-0,176;1,5686;1,604
0,047416;0,2474;-0,1111;1,6639;1,686
0,052214;0,1184;-0,0307;1,6164;1,621
0,057201;-0,0441;-0,0257;1,4836;1,484
0,061744;-0,1921;-0,0092;1,2654;1,28
0,066561;-0,4262;-0,024;0,9619;1,052
0,070895;-0,6606;-0,0787;0,6542;0,933
0,075834;-0,862;-0,1441;0,4427;0,98
0,080499;-0,9586;-0,2246;0,2649;1,02
0,084643;-0,9549;-0,2862;0,0683;0,999
0,089817;-0,9221;-0,3381;-0,0993;0,987
0,094371;-0,8693;-0,3512;-0,2572;0,972
0,101593;-0,7965;-0,2916;-0,4054;0,94
0,103757;-0,7085;-0,2306;-0,4962;0,895
0,108445;-0,6292;-0,1058;-0,5727;0,857
0,112962;-0,5061;0,0495;-0,6398;0,817
0,11763;-0,4202;0,1731;-0,6832;0,821
0,122467;-0,3237;0,2462;-0,7123;0,82
0,127055;-0,2837;0,2924;-0,6557;0,772
0,131774;-0,2191;0,2878;-0,6423;0,737
0,136504;-0,2499;0,2894;-0,543;0,664
0,141338;-0,2473;0,2633;-0,3724;0,519
0,145835;-0,2263;0,2469;-0,1446;0,365
0,150456;-0,2304;0,206;0,121;0,332
0,155338;-0,2072;0,1636;0,3482;0,437
0,159668;-0,2571;0,2004;0,5228;0,616
0,164395;-0,2941;0,1676;0,5922;0,682
0,16934;-0,4091;0,1561;0,5806;0,727
0,173788;-0,5548;0,1609;0,5548;0,801
